generation	mnemonic	format_id	format	category	description	launch_class	semantic_model	operand_signature	operand_layout	inst_lo	inst_hi	fixed_mask_lo	fixed_mask_hi	opcode_mask_lo	opcode_mask_hi	parameter_mask_lo	parameter_mask_hi	ignored_mask_lo	ignored_mask_hi	reserved_mask_lo	reserved_mask_hi	seed_assembly
lg200	atomic_sm_dec_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = old - 1 when 0 < old <= bound, otherwise the bound, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20300000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_dec_u32 p0, v0, v0, v0
lg200	atomic_sm_dec_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = old - 1 when 0 < old <= bound, otherwise the bound, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20700000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_dec_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_inc_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = old + 1 when old is below the bound, otherwise zero, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	202c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_inc_u32 p0, v0, v0, v0
lg200	atomic_sm_inc_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = old + 1 when old is below the bound, otherwise zero, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	206c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_inc_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_max_i32	8	shared-memory	atomic	Atomically reads a signed 32-bit integer from workgroup shared memory, computes new is the greater of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20180000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_max_i32 p0, v0, v0, v0
lg200	atomic_sm_max_i64	8	shared-memory	atomic	Atomically reads a signed 64-bit integer from workgroup shared memory, computes new is the greater of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20580000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_max_i64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_max_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new is the greater of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	201c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_max_u32 p0, v0, v0, v0
lg200	atomic_sm_max_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new is the greater of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	205c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_max_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_min_i32	8	shared-memory	atomic	Atomically reads a signed 32-bit integer from workgroup shared memory, computes new is the lesser of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20100000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_min_i32 p0, v0, v0, v0
lg200	atomic_sm_min_i64	8	shared-memory	atomic	Atomically reads a signed 64-bit integer from workgroup shared memory, computes new is the lesser of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20500000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_min_i64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_min_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new is the lesser of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20140000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_min_u32 p0, v0, v0, v0
lg200	atomic_sm_min_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new is the lesser of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20540000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_min_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_or_b32	8	shared-memory	atomic	Atomically reads a 32-bit bit pattern from workgroup shared memory, computes new = old OR source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20240000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_or_b32 p0, v0, v0, v0
lg200	atomic_sm_or_b64	8	shared-memory	atomic	Atomically reads a 64-bit bit pattern from workgroup shared memory, computes new = old OR source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20640000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_or_b64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_rsub_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = source - old modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20340000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_rsub_u32 p0, v0, v0, v0
lg200	atomic_sm_rsub_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = source - old modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20740000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_rsub_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_sub_u32	8	shared-memory	atomic	Atomically reads an unsigned 32-bit integer from workgroup shared memory, computes new = old - source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	200c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_sub_u32 p0, v0, v0, v0
lg200	atomic_sm_sub_u64	8	shared-memory	atomic	Atomically reads an unsigned 64-bit integer from workgroup shared memory, computes new = old - source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	204c0000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_sub_u64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_swap_b32	8	shared-memory	atomic	Atomically reads a 32-bit bit pattern from workgroup shared memory, computes new = source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20000000	00000000	fffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	00000000	atomic_sm_swap_b32 p0, v0, v0, v0
lg200	atomic_sm_swap_b64	8	shared-memory	atomic	Atomically reads a 64-bit bit pattern from workgroup shared memory, computes new = source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20400000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_swap_b64 p0, v0-v1, v0, v0-v1
lg200	atomic_sm_xor_b32	8	shared-memory	atomic	Atomically reads a 32-bit bit pattern from workgroup shared memory, computes new = old XOR source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8VJ8VD8X0_16PJ2	VK8@INST_LO[7:0];VJ8@INST_LO[23:16];VD8@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20280000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_xor_b32 p0, v0, v0, v0
lg200	atomic_sm_xor_b64	8	shared-memory	atomic	Atomically reads a 64-bit bit pattern from workgroup shared memory, computes new = old XOR source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	VK8x2VJ8VD8x2X0_16PJ2	VK8x2@INST_LO[7:0];VJ8@INST_LO[23:16];VD8x2@INST_LO[31:24];X0_16@INST_HI[15:0];PJ2@INST_HI[17:16]	00000000	20680000	00000000	bffc0000	00000000	07fc0000	ffff00ff	0003ffff	0000ff00	00000000	00000000	40000000	atomic_sm_xor_b64 p0, v0-v1, v0, v0-v1
lg200	atomic_v_buff_add_i32	6	tex-buffer	atomic	Atomically reads a signed 32-bit integer from the addressed buffer resource, computes new = old + source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VQ8VD8UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	294c0000	00000000	bffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	48000000	atomic_v_buff_add_i32 p0, v0, s16-s19, s4, 0x40f
lg200	atomic_v_buff_add_i64	6	tex-buffer	atomic	Atomically reads a signed 64-bit integer from the addressed buffer resource, computes new = old + source modulo the operand width, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8x2UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8x2@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29800000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_add_i64 p0, v0-v1, s16-s19, s4, 0x40f
lg200	atomic_v_buff_and_b32	6	tex-buffer	atomic	Atomically reads a 32-bit bit pattern from the addressed buffer resource, computes new = old AND source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VQ8VD8UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29640000	00000000	bffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	48000000	atomic_v_buff_and_b32 p0, v0, s16-s19, s4, 0x40f
lg200	atomic_v_buff_and_b64	6	tex-buffer	atomic	Atomically reads a 64-bit bit pattern from the addressed buffer resource, computes new = old AND source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8x2UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8x2@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29980000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_and_b64 p0, v0-v1, s16-s19, s4, 0x40f
lg200	atomic_v_buff_cmpswap_b32	6	tex-buffer	atomic	Atomically reads a 32-bit bit pattern from the addressed buffer resource, computes new = swap when old equals compare, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VQ8VD8x2UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8x2@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29480000	00000000	bffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	48000000	atomic_v_buff_cmpswap_b32 p0, v0-v1, s16-s19, s4, 0x40f
lg200	atomic_v_buff_cmpswap_b64	6	tex-buffer	atomic	Atomically reads a 64-bit bit pattern from the addressed buffer resource, computes new = swap when old equals compare, otherwise old, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8x4UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VD8x4@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	297c0000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_cmpswap_b64 p0, v0-v3, s16-s19, s4, 0x40f
lg200	atomic_v_buff_dec_u32	6	tex-buffer	atomic	Atomically reads an unsigned 32-bit integer from the addressed buffer resource, computes new = old - 1 when 0 < old <= bound, otherwise the bound, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29740000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_dec_u32 p0, v0, s16-s19, s4, 0x40f
lg200	atomic_v_buff_dec_u64	6	tex-buffer	atomic	Atomically reads an unsigned 64-bit integer from the addressed buffer resource, computes new = old - 1 when 0 < old <= bound, otherwise the bound, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8x2UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8x2@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29a80000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_dec_u64 p0, v0-v1, s16-s19, s4, 0x40f
lg200	atomic_v_buff_inc_u32	6	tex-buffer	atomic	Atomically reads an unsigned 32-bit integer from the addressed buffer resource, computes new = old + 1 when old is below the bound, otherwise zero, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29700000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_inc_u32 p0, v0, s16-s19, s4, 0x40f
lg200	atomic_v_buff_inc_u64	6	tex-buffer	atomic	Atomically reads an unsigned 64-bit integer from the addressed buffer resource, computes new = old + 1 when old is below the bound, otherwise zero, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VD8x2UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8x2@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	29a40000	00000000	bffc0000	00000000	07fc0000	ff00ffff	0003ffff	00ff0000	00000000	00000000	48000000	atomic_v_buff_inc_u64 p0, v0-v1, s16-s19, s4, 0x40f
lg200	atomic_v_buff_max_i32	6	tex-buffer	atomic	Atomically reads a signed 32-bit integer from the addressed buffer resource, computes new is the greater of old and source, and writes new back to the same location. The destination receives old.	compute-workgroup	atomic-state	RK8RJ8x4VQ8VD8UO12M.offen1M.idxen1M.bl11M.bl21PJ2	RK8@INST_LO[7:0];RJ8x4@INST_LO[15:8];VQ8@INST_LO[23:16];VD8@INST_LO[31:24];UO12@INST_HI[11:0];M.offen1@INST_HI[12];M.idxen1@INST_HI[13];M.bl11@INST_HI[14];M.bl21@INST_HI[15];PJ2@INST_HI[17:16]	00000000	295c0000	00000000	bffc0000	00000000	07fc0000	ffffffff	0003ffff	00000000	00000000	00000000	48000000	atomic_v_buff_max_i32 p0, v0, s16-s19, s4, 0x40f
